ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
1	the	the	at	0.11	  	25131726	54124.71	59717.97	21403.42	59363.87	63479.96	65266.92	46393.26	53301.68	53775.83	53613.78	63981.74	41050.47	52467.51	58832.77	60670.30	68926.84	73581.36	67229.24	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	5971797	2140342	5797074	7579669	8545851	4433575	4820039	5138750	4917319	5826573	409013	834722	427243	635001	1136961	1128125	1400732	188643	4045	21985	42556	39575	10875	38159	19219	53139	56903	21223	904	463	210	518	533	501	916
2	and	and	cc	0.08	  	12368293	26636.86	25808.34	17677.41	26260.07	28577.44	33417.48	26089.72	25756.04	26458.18	24577.22	30346.60	26107.37	26803.23	26337.68	22236.16	27659.40	26888.33	28883.92	1.00	1.00	1.00	0.99	0.98	1.00	1.00	1.00	1.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2580834	1767741	2564381	3412219	4375583	2493266	2329103	2528310	2254160	2763549	260125	426421	191264	232733	456247	412243	601801	188462	4045	21985	42264	38849	10873	38146	19153	53129	56812	21222	904	463	210	518	533	501	916
3	of	of	ii	0.01	  	11971724	25782.79	30086.53	10067.32	27505.53	32184.17	37182.86	21502.94	19640.22	25872.17	23814.03	38260.97	17505.61	21465.10	26809.46	25441.17	37980.66	45030.26	34311.38	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	1.00	0.99	1.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00	3008653	1006732	2686004	3842872	4868611	2054930	1776053	2472312	2184162	3484281	174420	341495	194690	266278	626498	690389	714883	188408	4035	21985	42470	39429	10870	38144	19106	53114	56823	21221	894	463	210	518	533	501	916
4	a	a	at	0.06	  	10327063	22240.78	20853.49	15632.54	22557.53	21357.82	20346.25	21403.59	22960.81	24395.42	23734.44	18637.48	19811.69	22470.99	23270.21	23642.27	20335.03	20755.41	22095.87	1.00	1.00	1.00	0.99	0.99	1.00	1.00	0.99	1.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2085349	1563254	2202816	2550178	2664076	2045436	2076332	2331195	2176862	1697244	197397	357498	168988	247450	335430	318215	460371	188277	4042	21985	42289	39059	10847	38138	19121	53117	56680	21221	903	463	210	517	533	501	915
5	in	in	ii	0.09	  	8035789	17306.20	18307.46	6702.35	17055.21	17335.58	17775.94	15433.91	13194.97	17503.23	18490.76	21952.50	12382.49	13318.05	16743.76	19122.49	21928.16	24739.06	20770.32	0.99	1.00	1.00	0.99	0.98	1.00	0.99	0.99	1.00	0.99	1.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1830746	670235	1665496	2069913	2327528	1474943	1193213	1672586	1695925	1999131	123375	211881	121593	200144	361709	379291	432753	188167	4035	21985	42242	38991	10863	38126	19043	53041	56740	21217	895	463	210	518	533	501	915
6	to	to	to	0.02	  	7277326	15672.75	15564.90	22985.85	14966.61	14749.63	14833.08	18518.54	14851.19	15252.34	15091.21	14527.89	15016.67	16570.48	15289.20	16744.50	16051.78	15815.50	16784.32	0.99	1.00	1.00	0.98	0.95	0.99	0.99	0.99	0.99	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1556490	2298585	1461538	1761143	1942198	1769726	1342984	1457494	1384127	1323000	149621	263625	111030	175255	264777	242478	349704	187580	4040	21985	41613	37809	10807	38088	18954	52833	56501	21204	902	463	210	518	533	501	913
7	I	I	pp	1.00	  	4725236	10176.46	7797.46	49055.45	10999.77	10607.48	10672.58	17759.28	18076.83	7119.85	5617.46	2174.98	24602.20	17546.26	6746.36	4265.07	2224.35	1310.16	5042.39	0.80	0.90	1.00	0.48	0.45	0.56	0.96	0.95	0.70	0.81	0.59	1.00	1.00	1.00	0.91	0.83	0.90	0.78	779746	4905545	1074163	1266560	1397435	1697167	1634677	680364	515219	198067	245128	279149	48992	44640	36691	20087	105059	151026	3657	21985	20600	17720	6148	36918	18208	37278	46058	12564	903	463	210	473	445	450	713
8	to	to	ii	0.02	  	4456281	9597.23	10079.95	7763.66	10231.84	11044.45	11980.12	8584.14	9325.53	9766.66	9376.73	10973.72	8415.68	9804.13	9449.06	9709.62	10872.08	11771.39	11428.33	0.99	0.99	1.00	0.97	0.95	0.99	0.99	0.98	0.99	0.99	1.00	0.99	1.00	1.00	0.99	1.00	1.00	1.00	1007995	776366	999172	1318735	1568641	820344	843302	933290	860010	999335	83851	155977	68619	101625	179337	180475	238111	187155	4029	21985	41240	37667	10824	37841	18810	52671	56619	21214	892	463	210	515	533	501	915
9	it	it	pp	0.24	  	4453425	9591.08	10402.43	18411.48	10366.92	11081.05	10752.66	14631.51	11931.98	8239.03	7851.97	5148.77	25357.44	13888.78	8905.96	7740.47	7716.25	7955.56	8240.21	0.97	0.99	1.00	0.89	0.86	0.98	0.98	0.97	0.96	0.97	0.98	1.00	1.00	1.00	0.99	0.99	1.00	0.99	1040243	1841148	1012363	1323105	1407921	1398261	1079002	787311	720163	468879	252653	220961	64675	81015	127281	121972	171686	184285	4021	21985	37990	33979	10633	37733	18667	51351	55604	20930	902	463	210	511	531	500	904
10	is	be	vbz	0.02	  	4237443	9125.93	9780.17	9837.83	7973.66	8449.09	8909.37	12536.61	5146.32	9019.08	8862.46	9875.33	10384.03	4206.03	11068.18	9273.85	9679.92	14359.43	12016.80	0.98	0.99	1.00	0.90	0.86	0.98	0.99	0.92	0.97	0.98	1.00	0.98	1.00	1.00	1.00	1.00	1.00	1.00	978017	983783	778654	1008843	1166566	1198062	465379	861852	812842	899309	103463	66915	80377	97064	159672	220154	250372	184661	4020	21985	38203	33923	10626	37995	17773	51672	56037	21184	885	463	210	516	533	501	912
