TO,SS,Note,OldSoundSpel,,Rondthaler,Pronunciation,OtherTO,BritishTO,OtherSS,BritishSS ?,AltSpeling1,AltSpeling2,longNote
A [ae],A [ae],,,NA,,,,,,,,,
a,a,,,,a,,,,,,,,
aah,aa,,aa,T,aa,,,,,,,,
aback,abak,,abak,T,abak,,,,,,,,
abacus,abacus,,abacus,T,abacus,,,,,,,,
abaft,abaft,,abaft,T,abaft,,,,,,,,
abalone,abaloeny,,abaloeny,T,abaloeny,,,,,,,,
abalones,abaloenys,,,,,,,,,,,,
abandon,abandon,,abandon,T,abandon,,,,,,,,
abandoned,abandond,,abandond,T,abandond,,,,,,,,
abandoning,abandoning,,abandoning,T,abandoning,,,,,,,,
abandonment,abandonment,,abandonment,T,abandonment,,,,,,,,
abandonments,abandonments,*,,NA,abandonments,,,,,,,,
abandons,abandons,,,NA,,,,,,,,,
abase,abaess,,abaes,F,abaes,,,,,,,,The terminal double ss blocks a faulty plural pronunciation
abased,abaest,,,,,,,,,,,,
abasement,abaesment,,abaesment,T,abaesment,,,,,,,,
abasements,abaesments,,,,,,,,,,,,
abash,abash,,,,abash,,,,,,,,
abashed,abasht,,,NA,,,,,,,,,
abasing,abaesing,,,,,,,,,,,,
abate,abaet,,abaet,T,abaet,,,,,,,,
abated,abaeted,,abaeted,T,abaeted,,,,,,,,
abatement,abaetment,,abaetment,T,abaetment,,,,,,,,
abatements,abaetments,,,NA,,,,,,,,,
abates,abaets,,,NA,,,,,,,,,
abating,abaeting,,,NA,,,,,,,,,
abattoir,abatwar,,abatwar,T,abatwar,,,,,,,,
abattoirs,abatwars,,,,,,,,,,,,
abbe,abae,,abay,F,abae,,,,,,,,
abbes,abaes,,abays,F,abaez,,,,,,,,
abbess,abes,,abis,F,abis,,,,,,,,"Rondthaler is inconsistent. He spells 'abis' but 'waetres.' TO 'abbess' undeniably has the female suffix, hence SoundSpel ""abes"""
abbey,aby,,aby,T,aby,,,,,,,,
abbeys,abys,,abys,T,abyz,,,,,,,,
abbot,abot,,abot,T,abot,,,,,,,,
abbots,abots,,,NA,,,,,,,,,
abbreviate,abreeviaet,,abreeviaet,T,abreevyaet,,,,,,,,
abbreviated,abreeviaeted,,abreeviaeted,T,abreevyaeted,,,,,,,,
abbreviates,abreeviaets,,,NA,,,,,,,,,
abbreviating,abreeviaeting,,abreeviaeting,T,abreevyaeting,,,,,,,,
abbreviation,abreeviaeshon,,abreeviaeshun,F,abreevyaeshon,,,,,,,,
abbreviations,abreeviaeshons,,abreeviaeshuns,F,abreevyaeshons,,,,,,,,
abdicate,abdicaet,,abdicaet,T,abdicaet,,,,,,,,
abdicated,abdicaeted,,,NA,,,,,,,,,
abdicates,abdicaets,,,NA,,,,,,,,,
abdicating,abdicaeting,,,NA,,,,,,,,,
