TS,soundSpel,note,Rondthaler,SSmatchRond,pronunciation,longNote,multipleTS,multipleSS,alternatives,British
A [ae],A [ae],,,NA,,,,,,
aa,aa’aa,*,,NA,,,,,,
aah,aa,,aa,T,,,,,,
aback,abak,,abak,T,,,,,,
abacus,abacus,,abacus,T,,,,,,
abaft,abaft,,abaft,T,,,,,,
abalone,abaloeny,,abaloeny,T,,,,,,
abandon,abandon,,abandon,T,,,,,,
abandoned,abandond,,abandond,T,,,,,,
abandoning,abandoning,,abandoning,T,,,,,,
abandonment,abandonment,,abandonment,T,,,,,,
abandonments,abandonments,*,,NA,,,,,,
abandons,abandons,,,NA,,,,,,
abase,abaess,,abaes,F,,,,,,
abasement,abaesment,,abaesment,T,,,,,,
abashed,abasht,,,NA,,,,,,
abate,abaet,,abaet,T,,,,,,
abated,abaeted,,abaeted,T,,,,,,
abatement,abaetment,,abaetment,T,,,,,,
abatements,abaetments,,,NA,,,,,,
abates,abaets,,,NA,,,,,,
abating,abaeting,,,NA,,,,,,
abattoir,abatwar,,abatwar,T,,,,,,
abbe,abae,,abay,F,,,,,,
abbes,abaes,,abays,F,,,,,,
abbess,abes,,abis,F,,,,,,
abbey,aby,,aby,T,,,,,,
abbeys,abys,,abys,T,,,,,,
abbot,abot,,abot,T,,,,,,
abbots,abots,,,NA,,,,,,
abbreviate,abreeviaet,,abreeviaet,T,,,,,,
abbreviated,abreeviaeted,,abreeviaeted,T,,,,,,
abbreviates,abreeviaets,,,NA,,,,,,
abbreviating,abreeviaeting,,abreeviaeting,T,,,,,,
abbreviation,abreeviaeshon,,abreeviaeshun,F,,,,,,
abbreviations,abreeviaeshons,,abreeviaeshuns,F,,,,,,
abdicate,abdicaet,,abdicaet,T,,,,,,
abdicated,abdicaeted,,,NA,,,,,,
abdicates,abdicaets,,,NA,,,,,,
abdicating,abdicaeting,,,NA,,,,,,
abdication,abdicaeshon,,abdicaeshun,F,,,,,,
abdications,abdicaeshons,,,NA,,,,,,
abdomen,abdomen,,abdomen,T,,,,,,
abdomens,abdomens,,,NA,,,,,,
abdominal,abdominal,,abdominal,T,,,,,,
abdominally,abdominaly,,,NA,,,,,,
abduct,abdukt,,abduct,F,,,,,,
abducted,abdukted,,,NA,,,,,,
abducting,abdukting,,,NA,,,,,,
abduction,abdukshon,,abducshun,F,,,,,,
abductions,abdukshons,,,NA,,,,,,
abductor,abduktor,,abductor,F,,,,,,
abductors,abduktors,,,NA,,,,,,
abducts,abdukts,,,NA,,,,,,
abed,abed,,abed,T,,,,,,
aberrance,aberranss,,aberans,F,,,,,,
aberrant,aberrant,,aberant,F,,,,,,
aberrantly,aberrantly,,,NA,,,,,,
aberration,aberaeshon,,aberaeshun,F,,,,,,
aberrational,aberaeshonal,,,NA,,,,,,
aberrations,aberaeshons,,aberaeshuns,F,,,,,,
abet,abet,,abet,T,,,,,,
abets,abets,,,NA,,,,,,
abetted,abeted,,abeted,T,,,,,,
abetting,abeting,,abeting,T,,,,,,
abettor,abetor,,abetor,T,,,,,,
abeyance,abaeanss,,abaeans,F,,,,,,
abhor,abor,,abhor,F,,,,,,
abhored,abord,,,NA,,,,,,
abhorrence,aborenss,,abhorens,F,,,,,,
abhorrent,aborent,,abhorent,F,,,,,,
abhorrently,aborently,,,NA,,,,,,
abhorring,aboring,,abhoring,F,,,,,,
abhors,abors,,,NA,,,,,,
abide,abied,,abied,T,,,,,,
abides,abieds,,abieds,T,,,,,,
abiding,abieding,,abieding,T,,,,,,
Abigail,Abigael,,,NA,,,,,,
abilities,abilitys,,abilitys,T,,,,,,
ability,ability,,ability,T,,,,,,
abject,abjekt,,abject,F,,,,,,
abjection,abjekshon,,abjecshun,F,,,,,,
abjections,abjekshons,,,NA,,,,,,
abjectly,abjektly,,abjectly,F,,,,,,
abjuration,abjuuraeshon,,,NA,,,,,,
abjurations,abjuuraeshons,,,NA,,,,,,
abjure,abjuur,,abjur,F,,,,,,
abjured,abjuurd,,,NA,,,,,,
abjures,abjuurs,,,NA,,,,,,
abjuring,abjuuring,,,NA,,,,,,
ablate,ablaet,,,NA,,,,,,
ablated,ablaeted,,,NA,,,,,,
ablates,ablaets,,,NA,,,,,,
ablating,ablaeting,,,NA,,,,,,
ablation,ablaeshon,,ablaeshun,F,,,,,,
ablations,ablaeshons,,,NA,,,,,,
ablative,ablativ,,ablativ,T,,,,,,
ablatives,ablativs,,,NA,,,,,,
ablaze,ablaez,,ablaez,T,,,,,,
able,aebl,,aebl,T,,,,,,
abler,aebler,,aebler,T,,,,,,
ables,aebls,*,,NA,,,,,,
ablest,aeblest,,,NA,,,,,,
abling,aebling,*,,NA,,,,,,
ablution,ablooshon,,ablooshun,F,,,,,,
ablutions,ablooshon,,,NA,,,,,,
ably,aebly,,aebly,T,,,,,,
abnegate,abnegaet,,,NA,,,,,,
abnegated,abnegaeted,,,NA,,,,,,
abnegates,abnegaets,,,NA,,,,,,
abnegating,abnegaeting,,,NA,,,,,,
